Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa"
Well_no_1,7325,7175,3052.8,0.1333,,6981171.852999999,Sandstone,2.2801371417471823,3106.544655346839,24.721555028005053,1690.4171328028092,7.304717426422341
Well_no_1,7325,7175,3053.3,0.13865,,7234748.871,Sandstone,2.135060843226809,4003.6970872092156,23.36072766042921,1573.8479665426569,5.2021201755426905
Well_no_1,7325,7175,3053.8,0.14637999999999998,,7157383.755,Sandstone,1.9910446892179976,3462.5690300710853,28.23215157976105,1636.2791393023394,
Well_no_1,7325,7175,3054.3,,,,Sandstone,1.6942419854801931,3836.9607019758882,29.220132093225175,1613.0430479499842,5.074763113147543
Well_no_1,7325,7175,3054.8,0.14993,,,Sandstone,1.6643712561622217,3919.585776629367,,1636.846283897834,5.2778341721026845
Well_no_1,7325,7175,3055.3,0.1525,,6975785.194,Sandstone,2.165118812976714,2850.9939450568404,22.57682137590121,1613.9443531956076,
Well_no_1,7325,7175,3055.8,0.15500999999999998,,7202545.188999997,Sandstone,1.499129282399088,4523.6027000859585,34.80123879633729,1786.9347831165203,
Well_no_1,7325,7175,3056.3,0.15843,,7071741.046,Sandstone,2.2792208361022044,2880.5224506183254,22.608216723283164,1641.1312862125367,7.470394438278165
Well_no_1,7325,7175,3056.8,0.16004000000000002,,6970094.357999999,Sandstone,2.1887528358945167,3015.5993140040405,23.17184133934027,1830.3968734151722,5.303365904472496
Well_no_1,7325,7175,3057.3,0.07066,,7836617.444,Sandy shale,3.250633783805993,2192.474932570087,,1649.5462731972766,8.764372445467894
Well_no_1,7325,7175,3057.8,0.07276,,7445642.705,Sandy shale,3.184170204201418,2350.3216127603355,18.83760606980724,1610.4674633905868,7.989805447637918
Well_no_1,7325,7175,3058.3,0.13699999999999998,,7336188.98,Shaly sandstone,1.8117307980545887,3767.966719314776,30.52017900388972,1622.4684441544186,6.334974437822383
Well_no_1,7325,7175,3058.8,0.13024000000000002,,7317351.86,Shaly sandstone,,3835.851164534192,,,6.642383743743073
Well_no_1,7325,7175,3059.3,0.1396,,7057105.7689999975,Sandstone,2.1179517145162507,2812.4816670340197,,1853.8565342021768,6.694957736777607
Well_no_1,7325,7175,3059.8,,,7167792.5529999975,Sandstone,2.142143510863746,3099.416514052051,28.23910897313333,1581.9857141472687,4.715880162507833
Well_no_1,7325,7175,3060.3,0.14681,189.11697396467773,7112052.852000001,Sandstone,,,21.196485132741575,,6.32114574127127
Well_no_1,7325,7175,3060.8,0.14719000000000002,,,Sandstone,2.3922199798488064,2832.507852052009,20.49510295126695,1514.6911626000863,6.783677635840738
Well_no_1,7325,7175,3061.3,0.1469,,7341491.837999999,Sandstone,1.5900405014924628,4905.749053984589,,1582.032837060878,5.49994697288192
Well_no_1,7325,7175,3061.8,0.15361,,6981515.306,Sandstone,1.6072751076433434,4214.779801380164,33.345386865945905,1795.696558475932,5.056061533722155
Well_no_1,7325,7175,3062.3,0.06265,,7768757.2420000015,Sandy shale,2.560526177647947,2853.4268821450646,23.79681555544441,1589.6178340956371,7.6488183505782095
Well_no_2,4225,3525,3047.79,0.16515,193.28850875934918,6987280.06,Sandstone,2.0135141476095573,3452.2911087918046,24.83247409373561,1606.2526147435026,4.197027185617531
Well_no_2,4225,3525,3048.29,0.16562000000000002,259.74961799744096,6900103.869,Sandstone,1.6783387253807884,,28.56813760676869,1661.2902133695193,4.531664002050342
Well_no_2,4225,3525,3048.79,0.16688,,7114981.296,Sandstone,1.8234229740082104,3489.9718321594373,25.14215128905011,,6.1532941471007305
Well_no_2,4225,3525,3049.29,0.16968,,6979479.3560000025,Sandstone,1.7670411631247849,4181.260033078872,23.72552685250336,1762.0457321291822,3.516153711177941
Well_no_2,4225,3525,3049.79,0.16552999999999998,217.59775513009689,7178261.94,Sandstone,1.7998819508851582,,27.860109652527786,1868.5350334142195,4.015978288087036
Well_no_2,4225,3525,3050.29,0.05515,34.83382854010209,8011859.0079999985,Sandy shale,3.120177510619449,2802.475954969857,23.565890383698978,1662.7068117518947,10.495367180398317
Well_no_2,4225,3525,3050.79,0.12519,,7475518.85,Shaly sandstone,,3442.5405270838924,25.79199755435668,,7.621862583324707
Well_no_2,4225,3525,3051.29,0.13232,,7355239.949,Shaly sandstone,1.7968431824089135,4104.740315243974,,1595.1007667116144,5.831524060870607
Well_no_2,4225,3525,3051.79,0.13982999999999998,,7285425.884,Shaly sandstone,2.3176199035291445,2669.986483173756,24.34348932529579,1653.3613254649204,7.011412366213286
Well_no_2,4225,3525,3052.29,0.13883,,7156247.18,Sandstone,2.32541284084686,3250.1334179856676,22.20109331632524,1683.4527729400045,7.243716841510477
Well_no_2,4225,3525,3052.79,0.14405,,7119358.985,Sandstone,2.091421301648709,3887.6505605095454,25.583198490927725,1644.161329743052,6.577413081706816
Well_no_2,4225,3525,3053.29,0.15441,,,,2.015555984316426,3407.0640790084626,22.65727010249671,1619.441824974971,6.719795263451169
Well_no_2,4225,3525,3053.79,0.06948,,7705429.781,Sandy shale,2.6638885846537126,3226.550824567468,20.510042843565163,1685.112434504267,6.694376047940412
Well_no_2,4225,3525,3054.29,0.09209,,7551326.259,Shaly sandstone,1.6562300250643809,4665.157363556091,36.27317385588671,1650.1589927018024,4.9710568489926485
Well_no_2,4225,3525,3054.79,0.06708,,7785667.638999999,Sandy shale,,2574.6926891340067,23.035324705085177,1756.5472121717057,9.211878146262997
Well_no_2,4225,3525,3055.29,0.06629,,7771041.288,Sandy shale,,,21.799123682593194,1462.392048295703,7.243642667428454
Well_no_2,4225,3525,3055.79,0.13195,,7048428.636,Shaly sandstone,1.7745782407325483,4339.211973190545,25.931668672135352,1683.1977922830242,5.760201926351988
Well_no_2,4225,3525,3056.29,,,7159022.9470000025,Shaly sandstone,1.8545315087359544,3540.000833739762,,1578.9706867562338,7.0774728612177285
Well_no_2,4225,3525,3056.79,0.14274,,7274479.991,Shaly sandstone,2.1956725295670045,3231.2521134891185,27.39149124895753,1763.6764493902524,7.422539519742577
Well_no_2,4225,3525,3057.29,0.15654,,7292463.327,Shaly sandstone,2.2084974667104467,3482.579873301196,25.905032907155466,1785.7417804432764,
Well_no_3,7725,8275,3055.92,,,7279665.002,Sandstone,,,22.186285952420914,,5.979633750388711
Well_no_3,7725,8275,3056.42,0.13865,,7282760.121,,2.099587586231344,3483.745651990657,23.644030210514174,1608.8932585178884,6.539248372603757
Well_no_3,7725,8275,3056.92,0.14321,,7062904.66,Sandstone,1.8004756581054049,3965.350116341911,32.60810338536536,1691.501154071922,4.796213767717425
