Well_ID,"X, m","Y, m","Depth, m","Porosity, fraction","Permeability, mD","Acoustic Impedance, kg*s/m^2",Rock facies,"Density, g/cm3","Compressible velocity, m/s","Youngs modulus, GPa","Shear velocity, m/s","Shear modulus, GPa"
Well_no_74,7925,5525,3050.51,,,7842692.077,Sandy shale,,3387.576377403281,,1646.6035491367838,6.229941377081685
Well_no_74,7925,5525,3051.01,0.09096,,7807355.262,Shaly sandstone,1.8729823334231912,,,1465.0517283463491,4.930174168485187
Well_no_74,7925,5525,3051.51,0.05878,,7864859.402000003,Sandy shale,3.1871228494285284,2660.30666418218,18.87542829883097,1570.4811158819339,7.20270319913645
Well_no_74,7925,5525,3052.01,,,7309508.797,Shaly sandstone,2.058578417397551,3285.6159502664445,26.992396273160743,1652.0967391634022,6.4861305043272734
Well_no_74,7925,5525,3052.51,0.12285,,7328552.658,Shaly sandstone,1.6783392368472312,4432.429018999212,35.261377544308026,1697.320551719903,3.8020012342715774
Well_no_74,7925,5525,3053.01,0.12562,,7660011.166,Shaly sandstone,,,31.391283418282896,,
Well_no_74,7925,5525,3053.51,0.12519,,7169346.003,Shaly sandstone,1.977815925048095,3840.180886684059,25.716447460435205,1666.313834043649,
Well_no_74,7925,5525,3054.01,0.12729,,,Sandstone,,3983.286988119067,,1830.249242233314,5.898287439787217
Well_no_74,7925,5525,3054.51,0.13435999999999998,59.74805145783218,7027584.283,Sandstone,1.7271514859650643,3667.8219927366913,32.492075489713194,1691.4609410553662,5.074221912080287
Well_no_74,7925,5525,3055.01,0.06006,,7885493.755,Sandy shale,,3148.9675569439823,23.207206977072055,1454.617888341893,8.359293176974829
Well_no_74,7925,5525,3055.51,0.0668,,,Sandy shale,3.1616542574311843,,19.746807232943908,1647.7242722752567,8.767678481363987
Well_no_74,7925,5525,3056.01,0.13114,,7349443.552,Shaly sandstone,2.3079876506619,2967.5111314478277,22.815706573239517,,5.720945471496758
Well_no_74,7925,5525,3056.51,0.13479000000000002,,7501889.162,Shaly sandstone,,3904.472439318332,25.89454872089251,1619.8994763308694,
Well_no_74,7925,5525,3057.01,0.13918,,7231373.158,Shaly sandstone,1.6560331648378743,4354.403747303536,,1708.941720852551,4.844841457339326
Well_no_74,7925,5525,3057.51,0.14340999999999998,,7560771.317000003,Shaly sandstone,1.7421684111039586,4295.840828745838,,1729.3866469104507,7.338469152703513
Well_no_74,7925,5525,3058.01,0.14254,,6964145.313999997,Sandstone,1.954439508004542,3373.862798104008,,1778.9749325682258,5.928775888741906
Well_no_74,7925,5525,3058.51,0.14572000000000002,,,Sandstone,2.2469432359783417,2996.6791912435688,25.802453314987112,1507.461838366201,5.317092880863457
Well_no_74,7925,5525,3059.01,0.1498,,7295773.376,Sandstone,2.221399599100517,3143.999934480897,22.607028121558706,1658.7251531312534,6.4282597978531495
Well_no_74,7925,5525,3059.51,0.15331,112.64999754091437,6829930.69,Sandstone,2.389682377330286,2515.431106732557,19.903488009477773,1588.000674080237,7.138975086714003
Well_no_74,7925,5525,3060.01,0.16176,,6945503.409,Sandstone,1.525833871921182,,,1632.129624002598,4.475699433511402
Well_no_75,8125,4425,3049.84,0.1732,,7143846.7689999975,Sandstone,1.9179620367073704,3780.867639235655,26.03711586251077,1742.9228274702743,4.312480637114675
Well_no_75,8125,4425,3050.34,0.05442,,8006531.557999997,Shale,,4716.341410710908,38.10237729202468,1622.9851130178142,4.457806207946795
Well_no_75,8125,4425,3050.84,0.05591,,7652015.486,Shale,1.5306991347966168,4650.426408248376,36.76285707117338,1714.7854716784714,2.8388575896454604
